timestamp,overall_score,neck_alignment,shoulder_level,forward_head,spine_straight,body_lean,feedback_count,has_issues
2025-06-10T20:13:22.113405,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.159549,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.191219,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.221324,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.268155,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.298768,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.329812,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.360629,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.407497,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.438318,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.468894,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.515281,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.545464,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.576309,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.607418,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.654441,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.685567,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.715911,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.761921,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.807464,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.838446,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.853458,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.914645,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.960909,88,100,40,100,100,100,1,True
2025-06-10T20:13:22.992560,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.023181,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.069761,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.100746,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.132466,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.163857,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.210660,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.225352,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.271279,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.302192,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.317267,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.363532,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.409314,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.440047,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.486178,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.501316,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.548163,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.609972,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.656573,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.688400,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.719919,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.750805,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.782572,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.813492,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.859984,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.905815,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.937163,88,100,40,100,100,100,1,True
2025-06-10T20:13:23.952791,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.014325,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.045096,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.075780,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.122500,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.153204,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.184120,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.215052,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.245801,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.275990,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.307543,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.354748,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.401725,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.417470,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.449138,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.511341,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.542479,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.573156,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.604475,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.635633,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.666385,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.697350,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.727273,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.742450,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.819779,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.850954,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.883255,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.915003,88,100,40,100,100,100,1,True
2025-06-10T20:13:24.962046,88,100,40,100,100,100,1,True
2025-06-10T20:13:25.007174,88,100,40,100,100,100,1,True
2025-06-10T20:13:25.037588,88,100,40,100,100,100,1,True
2025-06-10T20:13:25.067284,88,100,40,100,100,100,1,True
2025-06-10T20:13:25.098892,88,100,40.54841995239258,100,100,100,1,True
2025-06-10T20:13:25.130551,89,100,48.31740856170654,100,100,100,1,True
2025-06-10T20:13:25.161990,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.193167,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.239299,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.270492,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.316628,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.363201,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.394128,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.424414,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.455656,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.486539,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.533073,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.565154,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.597467,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.644189,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.674991,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.723404,100,100,100,100,100,100,0,False
2025-06-10T20:13:25.754007,100,100,100,100,100,100,0,False
